ent,ent_nombre,idh
01,Aguascalientes,0.82
02,Baja California,0.76
03,Baja California,0.75
04,Campeche,0.82
05,Coahuila,0.83
06,Colima,0.81
07,Chiapas,0.69
08,Chihuahua,0.82
09,Ciudad de México,0.87
10,Durango,0.79
11,Guanajuato,0.76
12,Guerrero,0.72
13,Hidalgo,0.75
14,Jalisco,0.8
15,México,0.79
16,Michoacán,0.75
17,Morelos,0.79
18,Nayarit,0.77
19,Nuevo León,0.84
20,Oaxaca,0.71
21,Puebla,0.76
22,Querétaro,0.8
23,Quintana Roo,0.82
24,San Luis Potosí,0.77
25,Sinaloa,0.78
26,Sonora,0.82
27,Tabasco,0.77
28,Tamaulipas,0.8
29,Tlaxcala,0.76
30,Veracruz,0.74
31,Yucatán,0.77
32,Zacatecas,0.75
