Country,Deaths
Romania,20290
Guinea Bissau,1368
Taiwan,443
Turkey,169218
Curacao,21
Guinea,4117
Zimbabwe,279
Monaco,99
Paraguay,1090
Jamaica,596
Austria,16822
Australia,7255
Georgia,808
Croatia,2247
Western Sahara,23
Malaysia,8303
Gibraltar,174
Hungary,3970
Qatar,67195
Cuba,2173
Saint Lucia,19
Antigua and Barbuda,26
Democratic Republic of the Congo,3878
Albania,1232
Bermuda,141
Djibouti,4169
Uzbekistan,4181
Zambia,1154
Guatemala,6792
Iraq,11098
Niger,970
Saint Vincent and the Grenadines,26
Switzerland,30873
Kyrgyzstan,2007
Belize,18
New Caledonia,20
Poland,25986
Puerto Rico,4915
Indonesia,30514
Czech Republic,9567
Bulgaria,2711
Comoros,141
Ghana,9462
Ireland,25183
Faeroe Islands,187
Mauritius,337
Congo,683
Belgium,59072
South Africa,45973
El Salvador,2934
Moldova,9511
Suriname,100
Syria,124
Greenland,13
Aruba,101
United States Virgin Islands,71
Yemen,473
Sri Lanka,1814
Cyprus,960
Swaziland,322
Kenya,2600
Iceland,1806
Bolivia,13358
Papua New Guinea,8
Saint Kitts and Nevis,15
Benin,268
Israel,17783
Laos,19
Cambodia,125
Malawi,409
Mali,1523
Bahamas,103
Montenegro,324
Liechtenstein,83
Saudi Arabia,98869
Nigeria,12233
Latvia,1086
Singapore,37527
Gambia,26
Malta,622
Sierra Leone,946
Norway,8504
Togo,487
Morocco,8132
Vatican,12
Dominica,18
Isle of Man,336
Somalia,2289
Uganda,593
Egypt,32612
French Polynesia,60
Tanzania,509
Venezuela,2316
China,84186
Liberia,345
Palestine,643
Iran,169425
Luxembourg,4035
Senegal,4249
India,246628
South Sudan,1317
Finland,6964
Vietnam,329
Denmark,11924
Nepal,2912
France,153634
Timor,24
Bahrain,14383
Jersey,311
San Marino,695
Cayman Islands,164
Sao Tome and Principe,513
Eritrea,41
Cote d'Ivoire,3557
Honduras,6155
Kuwait,31131
Jordan,795
Mauritania,947
Nicaragua,1309
Lesotho,4
Guam,179
Peru,191758
Myanmar,240
Kosovo,1142
Azerbaijan,7239
Netherlands,47335
Andorra,852
Angola,86
Cameroon,7599
Argentina,22007
Chile,127745
Equatorial Guinea,1306
Madagascar,1026
New Zealand,1154
Russia,458689
Sudan,5865
Guernsey,252
Guyana,154
Maldives,1901
South Korea,11776
Bangladesh,63026
Barbados,92
Philippines,21340
Bosnia and Herzegovina,2605
Brazil,645771
Spain,288797 
Mongolia,193
Afghanistan,19551
Botswana,40
Kazakhstan,12694
Central African Republic,1570
Libya,256
Macedonia,2917
Gabon,3101
Costa Rica,1263
Sint Maarten (Dutch part),77
Slovakia,1528
Slovenia,1494
Burundi,83
Brunei,141
Bonaire Sint Eustatius and Saba,7
Tunisia,1087
Serbia,11741
Portugal,34351
Anguilla,3
Northern Mariana Islands,27
Trinidad and Tobago,117
Haiti,3072
Cape Verde,542
Thailand,3112
Seychelles,11
United Kingdom,284868
Burkina Faso,888
Lebanon,1320
Mexico,113619
Bhutan,48
Belarus,47751
Italy,234801
United Arab Emirates,38268
Dominican Republic,19195
Canada,95046
Lithuania,1705
United States of America,1920061
Turks and Caicos Islands,12
Ecuador,42728
Germany,183979
Montserrat,11
Pakistan,98943
Panama,16004
Falkland Islands,13
Greece,2952
Algeria,10050
Ethiopia,1934
Fiji,18
Tajikistan,4453
Uruguay,845
Grenada,23
Armenia,12364
Sweden,43887
Japan,17141
Ukraine,26514
Colombia,38027
Chad,836
Estonia,1931
Mozambique,411
Oman,16016
Namibia,29
British Virgin Islands,8
Rwanda,431
